[TL],skeletal tier,primary POA,secondary POA,tertiary POA,specific C POA,rounding,anteriority,apicality,backness,height,tenseness,manner,voicing,major class,aperture,oral airflow,lateral,nasality,stridency,vocal fold spread,vocal fold constricted
ʈʰ,consonant,coronal,NA,NA,retroflex,NA,posterior,apical,NA,NA,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,spread,not constricted
cʰ,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,high,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,spread,not constricted
kʰ,consonant,dorsal,NA,NA,velar,NA,NA,NA,back,high,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,spread,not constricted
kʷʰ,consonant,dorsal,labial,NA,velar,rounded,NA,NA,back,high,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,spread,not constricted
qʰ,consonant,dorsal,NA,NA,uvular,NA,NA,NA,back,mid,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
ħ,consonant,dorsal,NA,NA,pharyngeal,NA,NA,NA,back,low,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
ʕ,consonant,dorsal,NA,NA,pharyngeal,NA,NA,NA,back,low,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
r,consonant,coronal,NA,NA,alveolar,NA,anterior,apical,NA,NA,NA,liquid,voiced,sonorant,contoid,continuant,not lateral,oral,NA,not spread,not constricted
l,consonant,coronal,NA,NA,alveolar,NA,anterior,apical,NA,NA,NA,liquid,voiced,sonorant,contoid,continuant,lateral,oral,NA,not spread,not constricted
ɫ,consonant,coronal,dorsal,NA,alveolar,NA,anterior,apical,back,hiɡh,NA,liquid,voiced,sonorant,contoid,continuant,lateral,oral,NA,not spread,not constricted
ʎ,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,hiɡh,NA,liquid,voiced,sonorant,contoid,continuant,lateral,oral,NA,not spread,not constricted
r̥,consonant,coronal,NA,NA,alveolar,NA,anterior,apical,NA,NA,NA,liquid,voiceless,sonorant,contoid,continuant,not lateral,oral,NA,not spread,not constricted
l̥,consonant,coronal,NA,NA,alveolar,NA,anterior,apical,NA,NA,NA,liquid,voiceless,sonorant,contoid,continuant,lateral,oral,NA,not spread,not constricted
ɫ̥,consonant,coronal,dorsal,NA,alveolar,NA,anterior,apical,back,hiɡh,NA,liquid,voiceless,sonorant,contoid,continuant,lateral,oral,NA,not spread,not constricted
ʎ̥,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,hiɡh,NA,liquid,voiceless,sonorant,contoid,continuant,lateral,oral,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
j,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,high,NA,glide,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
w,consonant,dorsal,labial,NA,labial-velar,rounded,NA,NA,back,high,NA,glide,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɥ,consonant,dorsal,coronal,labial,labial-palatal,rounded,posterior,laminal,front,high,NA,glide,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɰ,consonant,dorsal,NA,NA,velar,NA,NA,NA,back,high,NA,glide,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
j̥,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,high,NA,glide,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʍ,consonant,dorsal,labial,NA,labial-velar,rounded,NA,NA,back,high,NA,glide,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɥ̥,consonant,dorsal,coronal,labial,labial-palatal,rounded,posterior,laminal,front,high,NA,glide,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
